year,level_1,level_2,level_3,level_4,value
1990,Working Proprietors,Services,Business Services,Administrative & Support Services,na
1990,Working Proprietors,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1990,Working Proprietors,Services,"Community, Social & Personal Services",Health & Social Services,na
1990,Working Proprietors,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Working Proprietors,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Professionals,Services,Business Services,Real Estate Services,1
1990,Professionals,Services,Business Services,Professional Services,7.6
1990,Professionals,Services,Business Services,Administrative & Support Services,1.1
1990,Professionals,Services,"Community, Social & Personal Services",Public Administration & Education Services,28.8
1990,Professionals,Services,"Community, Social & Personal Services",Health & Social Services,5.8
1990,Professionals,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Professionals,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Associate Professionals & Technicians,Services,Business Services,Real Estate Services,7.6
1990,Associate Professionals & Technicians,Services,Business Services,Professional Services,10.7
1990,Associate Professionals & Technicians,Services,Business Services,Administrative & Support Services,2.3
1990,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Public Administration & Education Services,13.9
1990,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Health & Social Services,14.2
1990,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Clerical Support Workers,Services,Business Services,Real Estate Services,5.7
1990,Clerical Support Workers,Services,Business Services,Professional Services,13.2
1990,Clerical Support Workers,Services,Business Services,Administrative & Support Services,7
1990,Clerical Support Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,12.1
1990,Clerical Support Workers,Services,"Community, Social & Personal Services",Health & Social Services,4.7
1990,Clerical Support Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Clerical Support Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Service & Sales Workers,Services,Business Services,Real Estate Services,3.2
1990,Service & Sales Workers,Services,Business Services,Professional Services,1.3
1990,Service & Sales Workers,Services,Business Services,Administrative & Support Services,9.6
1990,Service & Sales Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,14.9
1990,Service & Sales Workers,Services,"Community, Social & Personal Services",Health & Social Services,1.6
1990,Service & Sales Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Service & Sales Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Craftsmen & Related Trades Workers,Services,Business Services,Real Estate Services,2.6
1990,Craftsmen & Related Trades Workers,Services,Business Services,Professional Services,1.5
1990,Craftsmen & Related Trades Workers,Services,Business Services,Administrative & Support Services,0.7
1990,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,0.8
1990,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Health & Social Services,0.3
1990,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Plant & Machine Operators & Assemblers,Services,Business Services,Real Estate Services,1.4
1990,Plant & Machine Operators & Assemblers,Services,Business Services,Professional Services,1.5
1990,Plant & Machine Operators & Assemblers,Services,Business Services,Administrative & Support Services,1.4
1990,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Public Administration & Education Services,1.9
1990,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Health & Social Services,0.6
1990,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,"Cleaners, Labourers & Related Workers",Services,Business Services,Real Estate Services,14.3
1990,"Cleaners, Labourers & Related Workers",Services,Business Services,Professional Services,1.3
1990,"Cleaners, Labourers & Related Workers",Services,Business Services,Administrative & Support Services,2.6
1990,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Public Administration & Education Services,5.8
1990,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Health & Social Services,5.1
1990,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Other Occupation Groups Nes,Services,Business Services,Real Estate Services,0
1990,Other Occupation Groups Nes,Services,Business Services,Professional Services,0
1990,Other Occupation Groups Nes,Services,Business Services,Administrative & Support Services,0
1990,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Public Administration & Education Services,61.5
1990,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Health & Social Services,0
1990,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Real Estate Services,na
1991,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Professional Services,na
1991,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Administrative & Support Services,na
1991,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Health & Social Services,na
1991,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,"Legislators, Senior Officials & Managers",Services,Business Services,Real Estate Services,na
1991,"Legislators, Senior Officials & Managers",Services,Business Services,Professional Services,na
1991,"Legislators, Senior Officials & Managers",Services,Business Services,Administrative & Support Services,na
1991,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Health & Social Services,na
1991,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Managers & Administrators,Services,Business Services,Real Estate Services,na
1991,Managers & Administrators,Services,Business Services,Professional Services,na
1991,Managers & Administrators,Services,Business Services,Administrative & Support Services,na
1991,Managers & Administrators,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Managers & Administrators,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Managers & Administrators,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Managers & Administrators,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Working Proprietors,Services,Business Services,Real Estate Services,na
1991,Working Proprietors,Services,Business Services,Professional Services,na
1991,Working Proprietors,Services,Business Services,Administrative & Support Services,na
1991,Working Proprietors,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Working Proprietors,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Working Proprietors,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Working Proprietors,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Professionals,Services,Business Services,Real Estate Services,na
1991,Professionals,Services,Business Services,Professional Services,na
1991,Professionals,Services,Business Services,Administrative & Support Services,na
1991,Professionals,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Professionals,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Professionals,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Professionals,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Associate Professionals & Technicians,Services,Business Services,Real Estate Services,na
1991,Associate Professionals & Technicians,Services,Business Services,Professional Services,na
1991,Associate Professionals & Technicians,Services,Business Services,Administrative & Support Services,na
1991,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Clerical Support Workers,Services,Business Services,Real Estate Services,na
1991,Clerical Support Workers,Services,Business Services,Professional Services,na
1991,Clerical Support Workers,Services,Business Services,Administrative & Support Services,na
1991,Clerical Support Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Clerical Support Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Clerical Support Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Clerical Support Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Service & Sales Workers,Services,Business Services,Real Estate Services,na
1991,Service & Sales Workers,Services,Business Services,Professional Services,na
1991,Service & Sales Workers,Services,Business Services,Administrative & Support Services,na
1991,Service & Sales Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Service & Sales Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Service & Sales Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Service & Sales Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Craftsmen & Related Trades Workers,Services,Business Services,Real Estate Services,na
1991,Craftsmen & Related Trades Workers,Services,Business Services,Professional Services,na
1991,Craftsmen & Related Trades Workers,Services,Business Services,Administrative & Support Services,na
1991,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Plant & Machine Operators & Assemblers,Services,Business Services,Real Estate Services,na
1991,Plant & Machine Operators & Assemblers,Services,Business Services,Professional Services,na
1991,Plant & Machine Operators & Assemblers,Services,Business Services,Administrative & Support Services,na
1991,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,"Cleaners, Labourers & Related Workers",Services,Business Services,Real Estate Services,na
1991,"Cleaners, Labourers & Related Workers",Services,Business Services,Professional Services,na
1991,"Cleaners, Labourers & Related Workers",Services,Business Services,Administrative & Support Services,na
1991,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Health & Social Services,na
1991,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Other Occupation Groups Nes,Services,Business Services,Real Estate Services,na
1991,Other Occupation Groups Nes,Services,Business Services,Professional Services,na
1991,Other Occupation Groups Nes,Services,Business Services,Administrative & Support Services,na
1991,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1991,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Real Estate Services,na
1992,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Professional Services,na
1992,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Administrative & Support Services,na
1992,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Health & Social Services,na
1992,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,"Legislators, Senior Officials & Managers",Services,Business Services,Real Estate Services,na
1992,"Legislators, Senior Officials & Managers",Services,Business Services,Professional Services,na
1992,"Legislators, Senior Officials & Managers",Services,Business Services,Administrative & Support Services,na
1992,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Health & Social Services,na
1992,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Managers & Administrators,Services,Business Services,Real Estate Services,na
1992,Managers & Administrators,Services,Business Services,Professional Services,na
1992,Managers & Administrators,Services,Business Services,Administrative & Support Services,na
1992,Managers & Administrators,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Managers & Administrators,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Managers & Administrators,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Managers & Administrators,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Working Proprietors,Services,Business Services,Real Estate Services,na
1992,Working Proprietors,Services,Business Services,Professional Services,na
1992,Working Proprietors,Services,Business Services,Administrative & Support Services,na
1992,Working Proprietors,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Working Proprietors,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Working Proprietors,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Working Proprietors,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Professionals,Services,Business Services,Real Estate Services,na
1992,Professionals,Services,Business Services,Professional Services,na
1992,Professionals,Services,Business Services,Administrative & Support Services,na
1992,Professionals,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Professionals,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Professionals,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Professionals,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Associate Professionals & Technicians,Services,Business Services,Real Estate Services,na
1992,Associate Professionals & Technicians,Services,Business Services,Professional Services,na
1992,Associate Professionals & Technicians,Services,Business Services,Administrative & Support Services,na
1992,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Clerical Support Workers,Services,Business Services,Real Estate Services,na
1992,Clerical Support Workers,Services,Business Services,Professional Services,na
1992,Clerical Support Workers,Services,Business Services,Administrative & Support Services,na
1992,Clerical Support Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Clerical Support Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Clerical Support Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Clerical Support Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Service & Sales Workers,Services,Business Services,Real Estate Services,na
1992,Service & Sales Workers,Services,Business Services,Professional Services,na
1992,Service & Sales Workers,Services,Business Services,Administrative & Support Services,na
1992,Service & Sales Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Service & Sales Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Service & Sales Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Service & Sales Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Craftsmen & Related Trades Workers,Services,Business Services,Real Estate Services,na
1992,Craftsmen & Related Trades Workers,Services,Business Services,Professional Services,na
1992,Craftsmen & Related Trades Workers,Services,Business Services,Administrative & Support Services,na
1992,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Plant & Machine Operators & Assemblers,Services,Business Services,Real Estate Services,na
1992,Plant & Machine Operators & Assemblers,Services,Business Services,Professional Services,na
1992,Plant & Machine Operators & Assemblers,Services,Business Services,Administrative & Support Services,na
1992,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,"Cleaners, Labourers & Related Workers",Services,Business Services,Real Estate Services,na
1992,"Cleaners, Labourers & Related Workers",Services,Business Services,Professional Services,na
1992,"Cleaners, Labourers & Related Workers",Services,Business Services,Administrative & Support Services,na
1992,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Health & Social Services,na
1992,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Other Occupation Groups Nes,Services,Business Services,Real Estate Services,na
1992,Other Occupation Groups Nes,Services,Business Services,Professional Services,na
1992,Other Occupation Groups Nes,Services,Business Services,Administrative & Support Services,na
1992,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1992,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Real Estate Services,na
1993,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Professional Services,na
1993,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Administrative & Support Services,na
1993,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Health & Social Services,na
1993,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,"Legislators, Senior Officials & Managers",Services,Business Services,Real Estate Services,na
1993,"Legislators, Senior Officials & Managers",Services,Business Services,Professional Services,na
1993,"Legislators, Senior Officials & Managers",Services,Business Services,Administrative & Support Services,na
1993,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Health & Social Services,na
1993,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Managers & Administrators,Services,Business Services,Real Estate Services,na
1993,Managers & Administrators,Services,Business Services,Professional Services,na
1993,Managers & Administrators,Services,Business Services,Administrative & Support Services,na
1993,Managers & Administrators,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Managers & Administrators,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Managers & Administrators,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Managers & Administrators,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Working Proprietors,Services,Business Services,Real Estate Services,na
1993,Working Proprietors,Services,Business Services,Professional Services,na
1993,Working Proprietors,Services,Business Services,Administrative & Support Services,na
1993,Working Proprietors,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Working Proprietors,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Working Proprietors,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Working Proprietors,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Professionals,Services,Business Services,Real Estate Services,na
1993,Professionals,Services,Business Services,Professional Services,na
1993,Professionals,Services,Business Services,Administrative & Support Services,na
1993,Professionals,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Professionals,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Professionals,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Professionals,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Associate Professionals & Technicians,Services,Business Services,Real Estate Services,na
1993,Associate Professionals & Technicians,Services,Business Services,Professional Services,na
1993,Associate Professionals & Technicians,Services,Business Services,Administrative & Support Services,na
1993,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Associate Professionals & Technicians,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Associate Professionals & Technicians,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Clerical Support Workers,Services,Business Services,Real Estate Services,na
1993,Clerical Support Workers,Services,Business Services,Professional Services,na
1993,Clerical Support Workers,Services,Business Services,Administrative & Support Services,na
1993,Clerical Support Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Clerical Support Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Clerical Support Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Clerical Support Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Service & Sales Workers,Services,Business Services,Real Estate Services,na
1993,Service & Sales Workers,Services,Business Services,Professional Services,na
1993,Service & Sales Workers,Services,Business Services,Administrative & Support Services,na
1993,Service & Sales Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Service & Sales Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Service & Sales Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Service & Sales Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Craftsmen & Related Trades Workers,Services,Business Services,Real Estate Services,na
1993,Craftsmen & Related Trades Workers,Services,Business Services,Professional Services,na
1993,Craftsmen & Related Trades Workers,Services,Business Services,Administrative & Support Services,na
1993,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Craftsmen & Related Trades Workers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Plant & Machine Operators & Assemblers,Services,Business Services,Real Estate Services,na
1993,Plant & Machine Operators & Assemblers,Services,Business Services,Professional Services,na
1993,Plant & Machine Operators & Assemblers,Services,Business Services,Administrative & Support Services,na
1993,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Plant & Machine Operators & Assemblers,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,"Cleaners, Labourers & Related Workers",Services,Business Services,Real Estate Services,na
1993,"Cleaners, Labourers & Related Workers",Services,Business Services,Professional Services,na
1993,"Cleaners, Labourers & Related Workers",Services,Business Services,Administrative & Support Services,na
1993,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services",Health & Social Services,na
1993,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,"Cleaners, Labourers & Related Workers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Other Occupation Groups Nes,Services,Business Services,Real Estate Services,na
1993,Other Occupation Groups Nes,Services,Business Services,Professional Services,na
1993,Other Occupation Groups Nes,Services,Business Services,Administrative & Support Services,na
1993,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1993,Other Occupation Groups Nes,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Other Occupation Groups Nes,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1994,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Real Estate Services,na
1994,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Professional Services,na
