year,level_1,level_2,level_3,level_4,value
1990,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Administrative & Support Services,1.2
1990,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services",Public Administration & Education,4.4
1990,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services",Health & Social Services,1
1990,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Real Estate Services,1.8
1990,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Professional Services,1.1
1990,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Administrative & Support Services,1.2
1990,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services",Public Administration & Education,4
1990,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services",Health & Social Services,1
1990,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Real Estate Services,1.4
1990,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Professional Services,0.7
1990,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Administrative & Support Services,1.1
1990,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services",Public Administration & Education,2
1990,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services",Health & Social Services,0.7
1990,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Real Estate Services,1.2
1990,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Professional Services,0.4
1990,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Administrative & Support Services,1.1
1990,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services",Public Administration & Education,0.5
1990,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services",Health & Social Services,0.3
1990,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Real Estate Services,1.5
1990,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Professional Services,0.3
1990,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Administrative & Support Services,0.8
1990,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services",Public Administration & Education,0.2
1990,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services",Health & Social Services,0.3
1990,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,All Industries (Employed Male Residents),Services,Business Services,Real Estate Services,na
1991,All Industries (Employed Male Residents),Services,Business Services,Professional Services,na
1991,All Industries (Employed Male Residents),Services,Business Services,Administrative & Support Services,na
1991,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Health & Social Services,na
1991,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1991,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Real Estate Services,na
1991,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Professional Services,na
1991,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Administrative & Support Services,na
1991,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services",Public Administration & Education,na
1991,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services",Health & Social Services,na
1991,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1991,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,All Industries (Employed Male Residents),Services,Business Services,Real Estate Services,na
1992,All Industries (Employed Male Residents),Services,Business Services,Professional Services,na
1992,All Industries (Employed Male Residents),Services,Business Services,Administrative & Support Services,na
1992,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Health & Social Services,na
1992,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 45 - 49 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 50 - 54 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 50 - 54 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 55 - 59 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 55 - 59 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 60 - 64 Years,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 60 - 64 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1992,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Real Estate Services,na
1992,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Professional Services,na
1992,Employed Male Residents Aged 65 Years & Over,Services,Business Services,Administrative & Support Services,na
1992,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services",Public Administration & Education,na
1992,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services",Health & Social Services,na
1992,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1992,Employed Male Residents Aged 65 Years & Over,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,All Industries (Employed Male Residents),Services,Business Services,Real Estate Services,na
1993,All Industries (Employed Male Residents),Services,Business Services,Professional Services,na
1993,All Industries (Employed Male Residents),Services,Business Services,Administrative & Support Services,na
1993,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Public Administration & Education,na
1993,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Health & Social Services,na
1993,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Real Estate Services,na
1993,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Professional Services,na
1993,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Administrative & Support Services,na
1993,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1993,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Real Estate Services,na
1993,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Professional Services,na
1993,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Administrative & Support Services,na
1993,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1993,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Real Estate Services,na
1993,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Professional Services,na
1993,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Administrative & Support Services,na
1993,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1993,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Real Estate Services,na
1993,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Professional Services,na
1993,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Administrative & Support Services,na
1993,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Public Administration & Education,na
1993,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Health & Social Services,na
1993,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1993,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1993,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Real Estate Services,na
1993,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Professional Services,na
1993,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Administrative & Support Services,na
