year,level_1,level_2,value
1996,Total,Accommodation And Food Services,na
1996,Total,Information And Communications,na
1996,Total,Financial And Insurance Services,na
1996,Total,Real Estate Services,na
1996,Total,Professional Services,na
1996,Total,Administrative And Support Services,na
1996,Total,"Community, Social And Personal Services",na
1996,Total,Others,na
1997,Total,Manufacturing,na
1997,Total,Construction,na
1997,Total,Wholesale And Retail Trade,na
1997,Total,Transportation And Storage,na
1997,Total,Accommodation And Food Services,na
1997,Total,Information And Communications,na
1997,Total,Financial And Insurance Services,na
1997,Total,Real Estate Services,na
1997,Total,Professional Services,na
1997,Total,Administrative And Support Services,na
1997,Total,"Community, Social And Personal Services",na
1997,Total,Others,na
1998,Total,Manufacturing,na
1998,Total,Construction,na
1998,Total,Wholesale And Retail Trade,na
1998,Total,Transportation And Storage,na
1998,Total,Accommodation And Food Services,na
1998,Total,Information And Communications,na
1998,Total,Financial And Insurance Services,na
1998,Total,Real Estate Services,na
1998,Total,Professional Services,na
1998,Total,Administrative And Support Services,na
1998,Total,"Community, Social And Personal Services",na
1998,Total,Others,na
1999,Total,Manufacturing,na
1999,Total,Construction,na
1999,Total,Wholesale And Retail Trade,na
1999,Total,Transportation And Storage,na
1999,Total,Accommodation And Food Services,na
1999,Total,Information And Communications,na
1999,Total,Financial And Insurance Services,na
1999,Total,Real Estate Services,na
1999,Total,Professional Services,na
1999,Total,Administrative And Support Services,na
1999,Total,"Community, Social And Personal Services",na
1999,Total,Others,na
2000,Total,Manufacturing,na
2000,Total,Construction,na
2000,Total,Wholesale And Retail Trade,na
2000,Total,Transportation And Storage,na
2000,Total,Accommodation And Food Services,na
2000,Total,Information And Communications,na
2000,Total,Financial And Insurance Services,na
2000,Total,Real Estate Services,na
2000,Total,Professional Services,na
2000,Total,Administrative And Support Services,na
2000,Total,"Community, Social And Personal Services",na
2000,Total,Others,na
2001,Total,Manufacturing,na
2001,Total,Construction,na
2001,Total,Wholesale And Retail Trade,na
2001,Total,Transportation And Storage,na
2001,Total,Accommodation And Food Services,na
2001,Total,Information And Communications,na
2001,Total,Financial And Insurance Services,na
2001,Total,Real Estate Services,na
2001,Total,Professional Services,na
2001,Total,Administrative And Support Services,na
2001,Total,"Community, Social And Personal Services",na
2001,Total,Others,na
2002,Total,Manufacturing,49
2002,Total,Construction,50.6
2002,Total,Wholesale And Retail Trade,43.1
2002,Total,Transportation And Storage,45.8
2002,Total,Accommodation And Food Services,38.9
2002,Total,Information And Communications,42.3
2002,Total,Financial And Insurance Services,42.6
2002,Total,Real Estate Services,44.3
2002,Total,Professional Services,43.1
2002,Total,Administrative And Support Services,50.4
2002,Total,"Community, Social And Personal Services",41.5
2002,Total,Others,46.2
2003,Total,Manufacturing,49.2
2003,Total,Construction,51.1
2003,Total,Wholesale And Retail Trade,43.1
2003,Total,Transportation And Storage,45.7
2003,Total,Accommodation And Food Services,38.4
2003,Total,Information And Communications,42.1
2003,Total,Financial And Insurance Services,42.6
2003,Total,Real Estate Services,44.8
2003,Total,Professional Services,43.2
2003,Total,Administrative And Support Services,50.1
2003,Total,"Community, Social And Personal Services",41.5
2003,Total,Others,45.8
2004,Total,Manufacturing,49.8
2004,Total,Construction,51.7
2004,Total,Wholesale And Retail Trade,43.4
2004,Total,Transportation And Storage,45.7
2004,Total,Accommodation And Food Services,38.4
2004,Total,Information And Communications,42
2004,Total,Financial And Insurance Services,42.9
2004,Total,Real Estate Services,44.7
2004,Total,Professional Services,43.5
2004,Total,Administrative And Support Services,50.3
2004,Total,"Community, Social And Personal Services",41.5
2004,Total,Others,46.5
2005,Total,Manufacturing,50.2
2005,Total,Construction,51.9
2005,Total,Wholesale And Retail Trade,43.5
2005,Total,Transportation And Storage,45.9
2005,Total,Accommodation And Food Services,38.6
2005,Total,Information And Communications,42
2005,Total,Financial And Insurance Services,42.8
2005,Total,Real Estate Services,45.2
2005,Total,Professional Services,43.5
2005,Total,Administrative And Support Services,50.9
2005,Total,"Community, Social And Personal Services",41.9
2005,Total,Others,46.7
2006,Total,Manufacturing,50.5
2006,Total,Construction,51.9
2006,Total,Wholesale And Retail Trade,43.2
2006,Total,Transportation And Storage,45.8
2006,Total,Accommodation And Food Services,38.9
2006,Total,Information And Communications,41.9
2006,Total,Financial And Insurance Services,42.7
2006,Total,Real Estate Services,44.1
2006,Total,Professional Services,43.9
2006,Total,Administrative And Support Services,50
2006,Total,"Community, Social And Personal Services",41.9
2006,Total,Others,45.6
2007,Total,Manufacturing,50.6
2007,Total,Construction,52.2
2007,Total,Wholesale And Retail Trade,43.4
2007,Total,Transportation And Storage,45.6
2007,Total,Accommodation And Food Services,39.8
2007,Total,Information And Communications,41.8
2007,Total,Financial And Insurance Services,42.3
2007,Total,Real Estate Services,44.3
2007,Total,Professional Services,43.9
2007,Total,Administrative And Support Services,49
2007,Total,"Community, Social And Personal Services",41.8
2007,Total,Others,45.4
2008,Total,Manufacturing,50.1
2008,Total,Construction,52.4
2008,Total,Wholesale And Retail Trade,43.7
2008,Total,Transportation And Storage,46
2008,Total,Accommodation And Food Services,41.2
2008,Total,Information And Communications,41.6
2008,Total,Financial And Insurance Services,42.1
2008,Total,Real Estate Services,44.2
2008,Total,Professional Services,44
2008,Total,Administrative And Support Services,48.3
2008,Total,"Community, Social And Personal Services",41.8
2008,Total,Others,46.2
2009,Total,Manufacturing,49.3
2009,Total,Construction,52.2
2009,Total,Wholesale And Retail Trade,43.7
2009,Total,Transportation And Storage,45.3
2009,Total,Accommodation And Food Services,41.2
2009,Total,Information And Communications,41.6
2009,Total,Financial And Insurance Services,41.9
2009,Total,Real Estate Services,44.2
2009,Total,Professional Services,43.3
2009,Total,Administrative And Support Services,47.9
2009,Total,"Community, Social And Personal Services",41.8
2009,Total,Others,46.4
2010,Total,Manufacturing,50.5
2010,Total,Construction,52.4
2010,Total,Wholesale And Retail Trade,43.8
2010,Total,Transportation And Storage,45.7
2010,Total,Accommodation And Food Services,41.2
2010,Total,Information And Communications,41.7
2010,Total,Financial And Insurance Services,41.4
2010,Total,Real Estate Services,44.7
2010,Total,Professional Services,43
2010,Total,Administrative And Support Services,48.7
2010,Total,"Community, Social And Personal Services",42
2010,Total,Others,46.3
2011,Total,Manufacturing,50.2
2011,Total,Construction,52.8
2011,Total,Wholesale And Retail Trade,43.7
2011,Total,Transportation And Storage,46.2
2011,Total,Accommodation And Food Services,41.6
2011,Total,Information And Communications,41.5
2011,Total,Financial And Insurance Services,41.2
2011,Total,Real Estate Services,44.6
2011,Total,Professional Services,43.1
2011,Total,Administrative And Support Services,48.5
2011,Total,"Community, Social And Personal Services",42.1
2011,Total,Others,45.8
2012,Total,Manufacturing,50.2
2012,Total,Construction,53
2012,Total,Wholesale And Retail Trade,43.6
2012,Total,Transportation And Storage,46.1
2012,Total,Accommodation And Food Services,42.1
2012,Total,Information And Communications,41.5
2012,Total,Financial And Insurance Services,41.2
2012,Total,Real Estate Services,44.5
2012,Total,Professional Services,43.6
2012,Total,Administrative And Support Services,48.5
2012,Total,"Community, Social And Personal Services",42.1
2012,Total,Others,45.7
2013,Total,Manufacturing,50.1
2013,Total,Construction,53.2
2013,Total,Wholesale And Retail Trade,43.2
2013,Total,Transportation And Storage,45.7
2013,Total,Accommodation And Food Services,43
2013,Total,Information And Communications,41.7
2013,Total,Financial And Insurance Services,41.2
2013,Total,Real Estate Services,44.6
2013,Total,Professional Services,43.6
2013,Total,Administrative And Support Services,47.5
2013,Total,"Community, Social And Personal Services",42.1
2013,Total,Others,45.7
2014,Total,Manufacturing,49.7
2014,Total,Construction,52.9
2014,Total,Wholesale And Retail Trade,43.1
2014,Total,Transportation And Storage,45.8
2014,Total,Accommodation And Food Services,42
2014,Total,Information And Communications,41.5
2014,Total,Financial And Insurance Services,41.1
2014,Total,Real Estate Services,44.5
2014,Total,Professional Services,43.1
2014,Total,Administrative And Support Services,47.3
2014,Total,"Community, Social And Personal Services",42
2014,Total,Others,45.6
2015,Total,Manufacturing,49.3
2015,Total,Construction,52.1
2015,Total,Wholesale And Retail Trade,43
2015,Total,Transportation And Storage,45.7
2015,Total,Accommodation And Food Services,41.5
2015,Total,Information And Communications,41.5
2015,Total,Financial And Insurance Services,41.1
2015,Total,Real Estate Services,44.8
2015,Total,Professional Services,42.9
2015,Total,Administrative And Support Services,46.4
2015,Total,"Community, Social And Personal Services",42.1
2015,Total,Others,45.6
