year,level_1,level_2,value
1993,Total Unemployed Residents,65 Years & Over,0.3
1993,Total Residents Outside The Labour Force,15 - 19 Years,172.4
1993,Total Residents Outside The Labour Force,20 - 24 Years,53.6
1993,Total Residents Outside The Labour Force,25 - 29 Years,37.1
1993,Total Residents Outside The Labour Force,30 - 34 Years,56.8
1993,Total Residents Outside The Labour Force,35 - 39 Years,63
1993,Total Residents Outside The Labour Force,40 - 44 Years,58.8
1993,Total Residents Outside The Labour Force,45 - 49 Years,46.9
1993,Total Residents Outside The Labour Force,50 - 54 Years,51.7
1993,Total Residents Outside The Labour Force,55 - 59 Years,60.2
1993,Total Residents Outside The Labour Force,60 - 64 Years,66.2
1993,Total Residents Outside The Labour Force,65 Years & Over,154.4
1994,Total Residents In The Labour Force,15 - 19 Years,46.2
1994,Total Residents In The Labour Force,20 - 24 Years,188.5
1994,Total Residents In The Labour Force,25 - 29 Years,224.6
1994,Total Residents In The Labour Force,30 - 34 Years,233.7
1994,Total Residents In The Labour Force,35 - 39 Years,227.6
1994,Total Residents In The Labour Force,40 - 44 Years,190.3
1994,Total Residents In The Labour Force,45 - 49 Years,140.7
1994,Total Residents In The Labour Force,50 - 54 Years,91.5
1994,Total Residents In The Labour Force,55 - 59 Years,58.9
1994,Total Residents In The Labour Force,60 - 64 Years,29.6
1994,Total Residents In The Labour Force,65 Years & Over,24.4
1994,Total Employed Residents,15 - 19 Years,42.6
1994,Total Employed Residents,20 - 24 Years,176.5
1994,Total Employed Residents,25 - 29 Years,217.4
1994,Total Employed Residents,30 - 34 Years,229.3
1994,Total Employed Residents,35 - 39 Years,223.7
1994,Total Employed Residents,40 - 44 Years,186.9
1994,Total Employed Residents,45 - 49 Years,138.3
1994,Total Employed Residents,50 - 54 Years,90
1994,Total Employed Residents,55 - 59 Years,58
1994,Total Employed Residents,60 - 64 Years,29
1994,Total Employed Residents,65 Years & Over,24.2
1994,Total Unemployed Residents,15 - 19 Years,3.5
1994,Total Unemployed Residents,20 - 24 Years,12
1994,Total Unemployed Residents,25 - 29 Years,7.2
1994,Total Unemployed Residents,30 - 34 Years,4.3
1994,Total Unemployed Residents,35 - 39 Years,3.9
1994,Total Unemployed Residents,40 - 44 Years,3.4
1994,Total Unemployed Residents,45 - 49 Years,2.4
1994,Total Unemployed Residents,50 - 54 Years,1.4
1994,Total Unemployed Residents,55 - 59 Years,1
1994,Total Unemployed Residents,60 - 64 Years,0.6
1994,Total Unemployed Residents,65 Years & Over,0.2
1994,Total Residents Outside The Labour Force,15 - 19 Years,167.6
1994,Total Residents Outside The Labour Force,20 - 24 Years,57.1
1994,Total Residents Outside The Labour Force,25 - 29 Years,35.4
1994,Total Residents Outside The Labour Force,30 - 34 Years,57.9
1994,Total Residents Outside The Labour Force,35 - 39 Years,63.9
1994,Total Residents Outside The Labour Force,40 - 44 Years,58
1994,Total Residents Outside The Labour Force,45 - 49 Years,49.6
1994,Total Residents Outside The Labour Force,50 - 54 Years,50.8
1994,Total Residents Outside The Labour Force,55 - 59 Years,59.9
1994,Total Residents Outside The Labour Force,60 - 64 Years,66.4
1994,Total Residents Outside The Labour Force,65 Years & Over,158.1
1995,Total Residents In The Labour Force,15 - 19 Years,35.4
1995,Total Residents In The Labour Force,20 - 24 Years,169.6
1995,Total Residents In The Labour Force,25 - 29 Years,207.7
1995,Total Residents In The Labour Force,30 - 34 Years,231.4
1995,Total Residents In The Labour Force,35 - 39 Years,232.7
1995,Total Residents In The Labour Force,40 - 44 Years,201.2
1995,Total Residents In The Labour Force,45 - 49 Years,156
1995,Total Residents In The Labour Force,50 - 54 Years,85.1
1995,Total Residents In The Labour Force,55 - 59 Years,59.3
1995,Total Residents In The Labour Force,60 - 64 Years,27.8
1995,Total Residents In The Labour Force,65 Years & Over,21.2
1995,Total Employed Residents,15 - 19 Years,32.4
1995,Total Employed Residents,20 - 24 Years,158.7
1995,Total Employed Residents,25 - 29 Years,199.7
1995,Total Employed Residents,30 - 34 Years,224.7
1995,Total Employed Residents,35 - 39 Years,227.2
1995,Total Employed Residents,40 - 44 Years,196.5
1995,Total Employed Residents,45 - 49 Years,152.4
1995,Total Employed Residents,50 - 54 Years,83.4
1995,Total Employed Residents,55 - 59 Years,58.3
1995,Total Employed Residents,60 - 64 Years,27.5
1995,Total Employed Residents,65 Years & Over,21.1
1995,Total Unemployed Residents,15 - 19 Years,3
1995,Total Unemployed Residents,20 - 24 Years,10.9
1995,Total Unemployed Residents,25 - 29 Years,7.9
1995,Total Unemployed Residents,30 - 34 Years,6.7
1995,Total Unemployed Residents,35 - 39 Years,5.5
1995,Total Unemployed Residents,40 - 44 Years,4.6
1995,Total Unemployed Residents,45 - 49 Years,3.6
1995,Total Unemployed Residents,50 - 54 Years,1.7
1995,Total Unemployed Residents,55 - 59 Years,1
1995,Total Unemployed Residents,60 - 64 Years,0.2
1995,Total Unemployed Residents,65 Years & Over,0.2
1995,Total Residents Outside The Labour Force,15 - 19 Years,175.6
1995,Total Residents Outside The Labour Force,20 - 24 Years,59.5
1995,Total Residents Outside The Labour Force,25 - 29 Years,35.3
1995,Total Residents Outside The Labour Force,30 - 34 Years,61.5
1995,Total Residents Outside The Labour Force,35 - 39 Years,68.7
1995,Total Residents Outside The Labour Force,40 - 44 Years,63.3
1995,Total Residents Outside The Labour Force,45 - 49 Years,55.4
1995,Total Residents Outside The Labour Force,50 - 54 Years,47.7
1995,Total Residents Outside The Labour Force,55 - 59 Years,62.4
1995,Total Residents Outside The Labour Force,60 - 64 Years,69.5
1995,Total Residents Outside The Labour Force,65 Years & Over,178.7
1996,Total Residents In The Labour Force,15 - 19 Years,40.6
1996,Total Residents In The Labour Force,20 - 24 Years,164.5
1996,Total Residents In The Labour Force,25 - 29 Years,213
1996,Total Residents In The Labour Force,30 - 34 Years,245
1996,Total Residents In The Labour Force,35 - 39 Years,242.1
1996,Total Residents In The Labour Force,40 - 44 Years,216.1
1996,Total Residents In The Labour Force,45 - 49 Years,177.4
1996,Total Residents In The Labour Force,50 - 54 Years,89.1
1996,Total Residents In The Labour Force,55 - 59 Years,67.7
1996,Total Residents In The Labour Force,60 - 64 Years,30.2
1996,Total Residents In The Labour Force,65 Years & Over,25.9
1996,Total Employed Residents,15 - 19 Years,37.3
1996,Total Employed Residents,20 - 24 Years,152.6
1996,Total Employed Residents,25 - 29 Years,205.4
1996,Total Employed Residents,30 - 34 Years,240.2
1996,Total Employed Residents,35 - 39 Years,236.7
1996,Total Employed Residents,40 - 44 Years,211.2
1996,Total Employed Residents,45 - 49 Years,173.8
1996,Total Employed Residents,50 - 54 Years,86.7
1996,Total Employed Residents,55 - 59 Years,66
1996,Total Employed Residents,60 - 64 Years,29.3
1996,Total Employed Residents,65 Years & Over,25.6
1996,Total Unemployed Residents,15 - 19 Years,3.3
1996,Total Unemployed Residents,20 - 24 Years,11.9
1996,Total Unemployed Residents,25 - 29 Years,7.6
1996,Total Unemployed Residents,30 - 34 Years,4.8
1996,Total Unemployed Residents,35 - 39 Years,5.4
1996,Total Unemployed Residents,40 - 44 Years,4.8
1996,Total Unemployed Residents,45 - 49 Years,3.6
1996,Total Unemployed Residents,50 - 54 Years,2.4
1996,Total Unemployed Residents,55 - 59 Years,1.7
1996,Total Unemployed Residents,60 - 64 Years,0.9
1996,Total Unemployed Residents,65 Years & Over,0.3
1996,Total Residents Outside The Labour Force,15 - 19 Years,175.4
1996,Total Residents Outside The Labour Force,20 - 24 Years,56.7
1996,Total Residents Outside The Labour Force,25 - 29 Years,30.6
1996,Total Residents Outside The Labour Force,30 - 34 Years,53.7
1996,Total Residents Outside The Labour Force,35 - 39 Years,63.9
1996,Total Residents Outside The Labour Force,40 - 44 Years,62.7
1996,Total Residents Outside The Labour Force,45 - 49 Years,56.5
1996,Total Residents Outside The Labour Force,50 - 54 Years,41.9
1996,Total Residents Outside The Labour Force,55 - 59 Years,60.2
1996,Total Residents Outside The Labour Force,60 - 64 Years,65.4
1996,Total Residents Outside The Labour Force,65 Years & Over,178.7
1997,Total Residents In The Labour Force,15 - 19 Years,32.8
1997,Total Residents In The Labour Force,20 - 24 Years,161.9
1997,Total Residents In The Labour Force,25 - 29 Years,222.3
1997,Total Residents In The Labour Force,30 - 34 Years,241.6
1997,Total Residents In The Labour Force,35 - 39 Years,238.3
1997,Total Residents In The Labour Force,40 - 44 Years,222.9
1997,Total Residents In The Labour Force,45 - 49 Years,186.5
1997,Total Residents In The Labour Force,50 - 54 Years,107
1997,Total Residents In The Labour Force,55 - 59 Years,67.8
1997,Total Residents In The Labour Force,60 - 64 Years,32.1
1997,Total Residents In The Labour Force,65 Years & Over,25.1
1997,Total Employed Residents,15 - 19 Years,31.2
1997,Total Employed Residents,20 - 24 Years,152.9
1997,Total Employed Residents,25 - 29 Years,216
1997,Total Employed Residents,30 - 34 Years,236.6
1997,Total Employed Residents,35 - 39 Years,234.1
1997,Total Employed Residents,40 - 44 Years,218.6
1997,Total Employed Residents,45 - 49 Years,182.9
1997,Total Employed Residents,50 - 54 Years,104.9
1997,Total Employed Residents,55 - 59 Years,66.5
1997,Total Employed Residents,60 - 64 Years,31.4
1997,Total Employed Residents,65 Years & Over,24.8
1997,Total Unemployed Residents,15 - 19 Years,1.6
1997,Total Unemployed Residents,20 - 24 Years,9
1997,Total Unemployed Residents,25 - 29 Years,6.3
1997,Total Unemployed Residents,30 - 34 Years,5
1997,Total Unemployed Residents,35 - 39 Years,4.1
1997,Total Unemployed Residents,40 - 44 Years,4.3
1997,Total Unemployed Residents,45 - 49 Years,3.6
1997,Total Unemployed Residents,50 - 54 Years,2.1
1997,Total Unemployed Residents,55 - 59 Years,1.3
1997,Total Unemployed Residents,60 - 64 Years,0.7
1997,Total Unemployed Residents,65 Years & Over,0.4
1997,Total Residents Outside The Labour Force,15 - 19 Years,178.4
1997,Total Residents Outside The Labour Force,20 - 24 Years,63.9
1997,Total Residents Outside The Labour Force,25 - 29 Years,31.8
1997,Total Residents Outside The Labour Force,30 - 34 Years,52.2
1997,Total Residents Outside The Labour Force,35 - 39 Years,65.3
1997,Total Residents Outside The Labour Force,40 - 44 Years,63.3
1997,Total Residents Outside The Labour Force,45 - 49 Years,58.1
1997,Total Residents Outside The Labour Force,50 - 54 Years,47.9
1997,Total Residents Outside The Labour Force,55 - 59 Years,65.2
1997,Total Residents Outside The Labour Force,60 - 64 Years,67
1997,Total Residents Outside The Labour Force,65 Years & Over,182.2
1998,Total Residents In The Labour Force,15 - 19 Years,29.1
1998,Total Residents In The Labour Force,20 - 24 Years,141.8
1998,Total Residents In The Labour Force,25 - 29 Years,215.3
1998,Total Residents In The Labour Force,30 - 34 Years,240.3
1998,Total Residents In The Labour Force,35 - 39 Years,246.9
1998,Total Residents In The Labour Force,40 - 44 Years,235.9
1998,Total Residents In The Labour Force,45 - 49 Years,193.1
1998,Total Residents In The Labour Force,50 - 54 Years,118
1998,Total Residents In The Labour Force,55 - 59 Years,70.5
1998,Total Residents In The Labour Force,60 - 64 Years,31.5
1998,Total Residents In The Labour Force,65 Years & Over,24
1998,Total Employed Residents,15 - 19 Years,26.8
1998,Total Employed Residents,20 - 24 Years,130
1998,Total Employed Residents,25 - 29 Years,206.7
1998,Total Employed Residents,30 - 34 Years,234.4
1998,Total Employed Residents,35 - 39 Years,240.5
1998,Total Employed Residents,40 - 44 Years,230.1
1998,Total Employed Residents,45 - 49 Years,187.6
1998,Total Employed Residents,50 - 54 Years,114.7
1998,Total Employed Residents,55 - 59 Years,68.5
1998,Total Employed Residents,60 - 64 Years,30.9
1998,Total Employed Residents,65 Years & Over,23.8
1998,Total Unemployed Residents,15 - 19 Years,2.3
1998,Total Unemployed Residents,20 - 24 Years,11.8
1998,Total Unemployed Residents,25 - 29 Years,8.7
1998,Total Unemployed Residents,30 - 34 Years,5.9
1998,Total Unemployed Residents,35 - 39 Years,6.4
1998,Total Unemployed Residents,40 - 44 Years,5.9
1998,Total Unemployed Residents,45 - 49 Years,5.5
1998,Total Unemployed Residents,50 - 54 Years,3.3
1998,Total Unemployed Residents,55 - 59 Years,2.1
1998,Total Unemployed Residents,60 - 64 Years,0.7
1998,Total Unemployed Residents,65 Years & Over,0.2
1998,Total Residents Outside The Labour Force,15 - 19 Years,185.7
1998,Total Residents Outside The Labour Force,20 - 24 Years,65.5
1998,Total Residents Outside The Labour Force,25 - 29 Years,32.8
1998,Total Residents Outside The Labour Force,30 - 34 Years,50.3
1998,Total Residents Outside The Labour Force,35 - 39 Years,61.1
1998,Total Residents Outside The Labour Force,40 - 44 Years,63.7
1998,Total Residents Outside The Labour Force,45 - 49 Years,59.2
1998,Total Residents Outside The Labour Force,50 - 54 Years,53.4
1998,Total Residents Outside The Labour Force,55 - 59 Years,61.6
1998,Total Residents Outside The Labour Force,60 - 64 Years,70.4
1998,Total Residents Outside The Labour Force,65 Years & Over,199.6
1999,Total Residents In The Labour Force,15 - 19 Years,34.2
1999,Total Residents In The Labour Force,20 - 24 Years,143
1999,Total Residents In The Labour Force,25 - 29 Years,224.7
1999,Total Residents In The Labour Force,30 - 34 Years,245.8
1999,Total Residents In The Labour Force,35 - 39 Years,246
1999,Total Residents In The Labour Force,40 - 44 Years,236.6
1999,Total Residents In The Labour Force,45 - 49 Years,197
1999,Total Residents In The Labour Force,50 - 54 Years,129.3
1999,Total Residents In The Labour Force,55 - 59 Years,71.4
1999,Total Residents In The Labour Force,60 - 64 Years,39.5
1999,Total Residents In The Labour Force,65 Years & Over,28.4
1999,Total Employed Residents,15 - 19 Years,30.6
1999,Total Employed Residents,20 - 24 Years,129.6
1999,Total Employed Residents,25 - 29 Years,214.2
1999,Total Employed Residents,30 - 34 Years,236.8
1999,Total Employed Residents,35 - 39 Years,236.7
1999,Total Employed Residents,40 - 44 Years,226.3
1999,Total Employed Residents,45 - 49 Years,187.2
1999,Total Employed Residents,50 - 54 Years,123.9
1999,Total Employed Residents,55 - 59 Years,68.3
1999,Total Employed Residents,60 - 64 Years,37.7
1999,Total Employed Residents,65 Years & Over,27.1
1999,Total Unemployed Residents,15 - 19 Years,3.6
1999,Total Unemployed Residents,20 - 24 Years,13.4
1999,Total Unemployed Residents,25 - 29 Years,10.5
1999,Total Unemployed Residents,30 - 34 Years,9
1999,Total Unemployed Residents,35 - 39 Years,9.3
1999,Total Unemployed Residents,40 - 44 Years,10.3
1999,Total Unemployed Residents,45 - 49 Years,9.8
1999,Total Unemployed Residents,50 - 54 Years,5.4
1999,Total Unemployed Residents,55 - 59 Years,3.1
1999,Total Unemployed Residents,60 - 64 Years,1.8
1999,Total Unemployed Residents,65 Years & Over,1.2
1999,Total Residents Outside The Labour Force,15 - 19 Years,178.3
1999,Total Residents Outside The Labour Force,20 - 24 Years,59.2
1999,Total Residents Outside The Labour Force,25 - 29 Years,33.3
1999,Total Residents Outside The Labour Force,30 - 34 Years,48.8
1999,Total Residents Outside The Labour Force,35 - 39 Years,64.2
1999,Total Residents Outside The Labour Force,40 - 44 Years,63.8
1999,Total Residents Outside The Labour Force,45 - 49 Years,54.9
1999,Total Residents Outside The Labour Force,50 - 54 Years,56.8
1999,Total Residents Outside The Labour Force,55 - 59 Years,60.5
1999,Total Residents Outside The Labour Force,60 - 64 Years,73.9
1999,Total Residents Outside The Labour Force,65 Years & Over,200.6
2000,Total Residents In The Labour Force,15 - 19 Years,29.5
2000,Total Residents In The Labour Force,20 - 24 Years,132.8
2000,Total Residents In The Labour Force,25 - 29 Years,225.8
2000,Total Residents In The Labour Force,30 - 34 Years,234.8
2000,Total Residents In The Labour Force,35 - 39 Years,248.1
2000,Total Residents In The Labour Force,40 - 44 Years,239.7
2000,Total Residents In The Labour Force,45 - 49 Years,197.5
2000,Total Residents In The Labour Force,50 - 54 Years,141.6
2000,Total Residents In The Labour Force,55 - 59 Years,65.5
2000,Total Residents In The Labour Force,60 - 64 Years,36.3
2000,Total Residents In The Labour Force,65 Years & Over,24.9
2000,Total Employed Residents,15 - 19 Years,26
2000,Total Employed Residents,20 - 24 Years,122.1
2000,Total Employed Residents,25 - 29 Years,212.2
2000,Total Employed Residents,30 - 34 Years,222.9
2000,Total Employed Residents,35 - 39 Years,235.2
2000,Total Employed Residents,40 - 44 Years,225.7
2000,Total Employed Residents,45 - 49 Years,185.5
2000,Total Employed Residents,50 - 54 Years,132.7
2000,Total Employed Residents,55 - 59 Years,61.8
2000,Total Employed Residents,60 - 64 Years,34.4
2000,Total Employed Residents,65 Years & Over,24.2
2000,Total Unemployed Residents,15 - 19 Years,3.5
2000,Total Unemployed Residents,20 - 24 Years,10.8
2000,Total Unemployed Residents,25 - 29 Years,13.6
2000,Total Unemployed Residents,30 - 34 Years,11.9
2000,Total Unemployed Residents,35 - 39 Years,12.9
2000,Total Unemployed Residents,40 - 44 Years,14
2000,Total Unemployed Residents,45 - 49 Years,12
2000,Total Unemployed Residents,50 - 54 Years,9
2000,Total Unemployed Residents,55 - 59 Years,3.7
2000,Total Unemployed Residents,60 - 64 Years,1.9
2000,Total Unemployed Residents,65 Years & Over,0.7
2000,Total Residents Outside The Labour Force,15 - 19 Years,182
2000,Total Residents Outside The Labour Force,20 - 24 Years,68.5
2000,Total Residents Outside The Labour Force,25 - 29 Years,30.9
2000,Total Residents Outside The Labour Force,30 - 34 Years,45.6
2000,Total Residents Outside The Labour Force,35 - 39 Years,63
2000,Total Residents Outside The Labour Force,40 - 44 Years,65
2000,Total Residents Outside The Labour Force,45 - 49 Years,59.4
2000,Total Residents Outside The Labour Force,50 - 54 Years,63.3
2000,Total Residents Outside The Labour Force,55 - 59 Years,59.5
2000,Total Residents Outside The Labour Force,60 - 64 Years,74.4
2000,Total Residents Outside The Labour Force,65 Years & Over,206.4
2001,Total Residents In The Labour Force,15 - 19 Years,34.5
2001,Total Residents In The Labour Force,20 - 24 Years,140.1
2001,Total Residents In The Labour Force,25 - 29 Years,218.9
2001,Total Residents In The Labour Force,30 - 34 Years,234.7
2001,Total Residents In The Labour Force,35 - 39 Years,256.3
2001,Total Residents In The Labour Force,40 - 44 Years,249.9
2001,Total Residents In The Labour Force,45 - 49 Years,211.3
2001,Total Residents In The Labour Force,50 - 54 Years,159.6
2001,Total Residents In The Labour Force,55 - 59 Years,67.2
2001,Total Residents In The Labour Force,60 - 64 Years,43.3
2001,Total Residents In The Labour Force,65 Years & Over,28.6
2001,Total Employed Residents,15 - 19 Years,30.6
2001,Total Employed Residents,20 - 24 Years,130.4
2001,Total Employed Residents,25 - 29 Years,209.7
2001,Total Employed Residents,30 - 34 Years,228.2
2001,Total Employed Residents,35 - 39 Years,248.2
2001,Total Employed Residents,40 - 44 Years,242.2
2001,Total Employed Residents,45 - 49 Years,203.3
2001,Total Employed Residents,50 - 54 Years,154.5
2001,Total Employed Residents,55 - 59 Years,64.8
